NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT06,WT11
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-03-02,,,,,0.0,0.0,96.0,39.0,15.0,29.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-03-03,,,,,0.64,7.0,101.0,31.0,25.0,25.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-03-04,,,,,1.81,13.0,110.0,30.0,24.0,24.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-03-05,,,,,0.54,4.0,107.0,25.0,20.0,20.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-03-06,,,,,1.71,16.0,122.0,30.0,16.0,18.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-03-07,,,,,0.0,0.0,117.0,30.0,17.0,17.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-03-08,,,,,0.32,4.0,120.0,26.0,14.0,14.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-03-09,,,,,0.0,0.0,118.0,27.0,13.0,15.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-03-10,,,,,0.0,0.0,117.0,28.0,11.0,15.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-03-11,,,,,0.0,0.0,114.0,40.0,15.0,19.0,,1.0,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-03-12,,,,,1.6,15.0,120.0,35.0,11.0,12.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-03-13,,,,,0.53,5.0,122.0,19.0,9.0,18.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-03-14,,,,,0.0,0.0,116.0,32.0,18.0,32.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-03-15,,,,,0.0,0.0,113.0,37.0,28.0,28.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-03-16,,,,,0.32,6.0,116.0,32.0,2.0,6.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-03-17,,,,,0.0,0.0,114.0,15.0,2.0,5.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-03-18,,,,,0.0,0.0,112.0,37.0,5.0,24.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-03-19,,,,,0.0,0.0,112.0,32.0,17.0,21.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-03-20,,,,,0.0,0.0,110.0,29.0,14.0,16.0,,,,,,
